category,pair_id,layer,cosine_sim
safe-safe,17,4,0.90625
safe-safe,17,5,0.92578125
safe-safe,17,6,0.953125
safe-safe,17,7,0.93359375
safe-safe,17,8,0.90625
safe-safe,17,9,0.875
safe-safe,17,10,0.859375
safe-safe,17,11,0.88671875
safe-safe,17,12,0.87109375
safe-safe,17,13,0.875
safe-safe,17,14,0.78515625
safe-safe,17,15,0.7578125
safe-safe,17,16,0.7109375
safe-safe,17,17,0.7265625
safe-safe,17,18,0.7890625
safe-safe,17,19,0.73828125
safe-safe,17,20,0.76953125
safe-safe,17,21,0.77734375
safe-safe,17,22,0.84375
safe-safe,17,23,0.84765625
safe-safe,17,24,0.87109375
safe-safe,17,25,0.90625
safe-safe,17,26,0.92578125
safe-safe,17,27,0.94140625
safe-safe,17,28,0.9375
safe-safe,17,29,0.92578125
safe-safe,17,30,0.9140625
safe-safe,17,31,0.765625
safe-safe,17,32,0.55859375
safe-safe,18,1,0.98828125
safe-safe,18,2,0.98046875
safe-safe,18,3,0.98046875
safe-safe,18,4,0.98046875
safe-safe,18,5,0.984375
safe-safe,18,6,0.98828125
safe-safe,18,7,0.98046875
safe-safe,18,8,0.97265625
safe-safe,18,9,0.96484375
safe-safe,18,10,0.94921875
safe-safe,18,11,0.953125
safe-safe,18,12,0.953125
safe-safe,18,13,0.94921875
safe-safe,18,14,0.88671875
safe-safe,18,15,0.84765625
safe-safe,18,16,0.81640625
safe-safe,18,17,0.828125
safe-safe,18,18,0.83984375
safe-safe,18,19,0.83984375
safe-safe,18,20,0.89453125
safe-safe,18,21,0.88671875
safe-safe,18,22,0.93359375
safe-safe,18,23,0.93359375
safe-safe,18,24,0.94921875
safe-safe,18,25,0.94921875
safe-safe,18,26,0.953125
safe-safe,18,27,0.96484375
safe-safe,18,28,0.9609375
safe-safe,18,29,0.96875
safe-safe,18,30,0.96875
safe-safe,18,31,0.9296875
safe-safe,18,32,0.8515625
safe-safe,19,1,0.98828125
safe-safe,19,2,0.98828125
safe-safe,19,3,0.984375
safe-safe,19,4,0.96875
safe-safe,19,5,0.953125
safe-safe,19,6,0.96875
safe-safe,19,7,0.9609375
safe-safe,19,8,0.93359375
safe-safe,19,9,0.93359375
safe-safe,19,10,0.90234375
safe-safe,19,11,0.89453125
safe-safe,19,12,0.8828125
safe-safe,19,13,0.8984375
safe-safe,19,14,0.79296875
safe-safe,19,15,0.7265625
safe-safe,19,16,0.703125
safe-safe,19,17,0.703125
safe-safe,19,18,0.73046875
safe-safe,19,19,0.7734375
safe-safe,19,20,0.79296875
safe-safe,19,21,0.80078125
safe-safe,19,22,0.84375
safe-safe,19,23,0.8515625
safe-safe,19,24,0.8515625
safe-safe,19,25,0.8984375
safe-safe,19,26,0.92578125
safe-safe,19,27,0.93359375
safe-safe,19,28,0.94140625
safe-safe,19,29,0.93359375
safe-safe,19,30,0.9375
safe-safe,19,31,0.90625
safe-safe,19,32,0.6484375
safe-safe,20,1,1.0
safe-safe,20,2,0.9921875
safe-safe,20,3,0.9765625
safe-safe,20,4,0.9765625
safe-safe,20,5,0.9609375
safe-safe,20,6,0.97265625
safe-safe,20,7,0.95703125
safe-safe,20,8,0.9375
safe-safe,20,9,0.93359375
safe-safe,20,10,0.9140625
safe-safe,20,11,0.8984375
safe-safe,20,12,0.921875
safe-safe,20,13,0.8984375
safe-safe,20,14,0.8359375
safe-safe,20,15,0.73046875
safe-safe,20,16,0.703125
safe-safe,20,17,0.703125
safe-safe,20,18,0.73046875
safe-safe,20,19,0.73828125
safe-safe,20,20,0.765625
safe-safe,20,21,0.75390625
safe-safe,20,22,0.8359375
safe-safe,20,23,0.8203125
safe-safe,20,24,0.875
safe-safe,20,25,0.87109375
safe-safe,20,26,0.8828125
safe-safe,20,27,0.91015625
safe-safe,20,28,0.91796875
safe-safe,20,29,0.921875
safe-safe,20,30,0.92578125
safe-safe,20,31,0.87890625
safe-safe,20,32,0.58984375
safe-safe,21,1,0.9921875
safe-safe,21,2,0.984375
safe-safe,21,3,0.98046875
safe-safe,21,4,0.9765625
safe-safe,21,5,0.9609375
safe-safe,21,6,0.97265625
safe-safe,21,7,0.9609375
safe-safe,21,8,0.93359375
safe-safe,21,9,0.9453125
safe-safe,21,10,0.9375
safe-safe,21,11,0.921875
safe-safe,21,12,0.921875
safe-safe,21,13,0.91015625
safe-safe,21,14,0.796875
safe-safe,21,15,0.73046875
safe-safe,21,16,0.73046875
safe-safe,21,17,0.70703125
safe-safe,21,18,0.70703125
safe-safe,21,19,0.75390625
safe-safe,21,20,0.859375
safe-safe,21,21,0.85546875
safe-safe,21,22,0.89453125
safe-safe,21,23,0.890625
