category,pair_id,layer,cosine_sim
unsafe-unsafe,9,1,1.0
unsafe-unsafe,9,2,0.9921875
unsafe-unsafe,9,3,0.99609375
unsafe-unsafe,9,4,0.98828125
unsafe-unsafe,9,5,0.9765625
unsafe-unsafe,9,6,0.98046875
unsafe-unsafe,9,7,0.97265625
unsafe-unsafe,9,8,0.94921875
unsafe-unsafe,9,9,0.95703125
unsafe-unsafe,9,10,0.953125
unsafe-unsafe,9,11,0.95703125
unsafe-unsafe,9,12,0.94140625
unsafe-unsafe,9,13,0.94921875
unsafe-unsafe,9,14,0.90234375
unsafe-unsafe,9,15,0.85546875
unsafe-unsafe,9,16,0.83984375
unsafe-unsafe,9,17,0.78515625
unsafe-unsafe,9,18,0.74609375
unsafe-unsafe,9,19,0.7578125
unsafe-unsafe,9,20,0.69921875
unsafe-unsafe,9,21,0.6640625
unsafe-unsafe,9,22,0.7890625
unsafe-unsafe,9,23,0.75
unsafe-unsafe,9,24,0.796875
unsafe-unsafe,9,25,0.82421875
unsafe-unsafe,9,26,0.84375
unsafe-unsafe,9,27,0.87890625
unsafe-unsafe,9,28,0.8828125
unsafe-unsafe,9,29,0.8828125
unsafe-unsafe,9,30,0.90625
unsafe-unsafe,9,31,0.83203125
unsafe-unsafe,9,32,0.640625
unsafe-unsafe,10,1,0.99609375
unsafe-unsafe,10,2,0.98828125
unsafe-unsafe,10,3,0.98828125
unsafe-unsafe,10,4,0.98046875
unsafe-unsafe,10,5,0.98046875
unsafe-unsafe,10,6,0.98828125
unsafe-unsafe,10,7,0.984375
unsafe-unsafe,10,8,0.96875
unsafe-unsafe,10,9,0.9609375
unsafe-unsafe,10,10,0.96484375
unsafe-unsafe,10,11,0.953125
unsafe-unsafe,10,12,0.95703125
unsafe-unsafe,10,13,0.96484375
unsafe-unsafe,10,14,0.9453125
unsafe-unsafe,10,15,0.93359375
unsafe-unsafe,10,16,0.91796875
unsafe-unsafe,10,17,0.921875
unsafe-unsafe,10,18,0.91015625
unsafe-unsafe,10,19,0.93359375
unsafe-unsafe,10,20,0.87890625
unsafe-unsafe,10,21,0.8515625
unsafe-unsafe,10,22,0.89453125
unsafe-unsafe,10,23,0.9140625
unsafe-unsafe,10,24,0.9140625
unsafe-unsafe,10,25,0.93359375
unsafe-unsafe,10,26,0.94921875
unsafe-unsafe,10,27,0.953125
unsafe-unsafe,10,28,0.95703125
unsafe-unsafe,10,29,0.9609375
unsafe-unsafe,10,30,0.95703125
unsafe-unsafe,10,31,0.9296875
unsafe-unsafe,10,32,0.84375
unsafe-unsafe,11,1,0.98046875
unsafe-unsafe,11,2,0.97265625
unsafe-unsafe,11,3,0.98046875
unsafe-unsafe,11,4,0.95703125
unsafe-unsafe,11,5,0.95703125
unsafe-unsafe,11,6,0.96875
unsafe-unsafe,11,7,0.953125
unsafe-unsafe,11,8,0.91796875
unsafe-unsafe,11,9,0.89453125
unsafe-unsafe,11,10,0.89453125
unsafe-unsafe,11,11,0.90625
unsafe-unsafe,11,12,0.90234375
unsafe-unsafe,11,13,0.9140625
unsafe-unsafe,11,14,0.86328125
